Some species have been updated or deleted since 2011.  Double check this list for 2015.

Family: Umbridae
Umbra pygmaea	eastern mudminnow

Family: Salmonidae
Oncorhynchus mykiss	rainbow trout
Salmo trutta	brown trout
Salvelinus fontinalis	brook trout

Family: Aphredoderidae
Aphredoderus sayanus	pirate perch

Family: Amblyopsidae
Chologaster cornuta	swampfish
Typhlichthys subterraneus	southern cavefish


Family: Mugilidae
Agonostomus monticola	mountain mullet

Family: Atherinopsidae
Labidesthes sicculus	brook silverside
Membras martinica	rough silverside
Menidia beryllina	inland silverside
Menidia menidia	Atlantic silverside


Family: Fundulidae
Fundulus bifax	stippled studfish
Fundulus catenatus	northern studfish
Fundulus chrysotus	golden topminnow
Fundulus cingulatus	banded topminnow
Fundulus diaphanus	banded killifish
Fundulus escambiae	russetfin topminnow
Fundulus heteroclitus	mummichog
Fundulus lineolatus	lined topminnow
Fundulus luciae	spotfin killifish
Fundulus majalis	striped killifish
Fundulus olivaceus	blackspotted topminnow
Fundulus confluentus	marsh killifish
Fundulus rubrifrons	redface topminnow
Fundulus stellifer	southern studfish
Leptolucania ommata	pygmy killifish
Lucania goodei	bluefin killifish
Lucania parva	rainwater killifish

Family: Poeciliidae
Gambusia affinis and Gambusia holbrooki	western and eastern mosquitofish
Heterandria formosa	least killifish
Poecilia latipinna	sailfin molly

Family: Cyprinodontidae
Cyprinodon variegatus	sheepshead minnow



Family: Cottidae
Cottus carolinae	banded sculpin
Cottus carolinae zopherus	Coosa banded sculpin
Cottus chattahoochee	Chattahoochee sculpin
Cottus sp. cf. C. bairdi	Ridge and Valley sculpin
Cottus sp. cf. C. bairdi	Savannah sculpin
Cottus sp. cf. C. bairdi	smoky sculpin
Cottus sp. cf. C. carolinae	banded sculpin species
Cottus tallapoosae	Tallapoosa sculpin

Family: Moronidae
Morone americana	white perch
Morone chrysops	white bass
Morone chrysops X M. saxatilis	white bass X striped bass hybrid
Morone mississippiensis	yellow bass
Morone saxatilis	striped bass

Family: Centrarchidae
Acantharchus pomotis	mud sunfish
Ambloplites ariommus	shadow bass
Ambloplites rupestris	rock bass
Centrarchus macropterus	flier
Enneacanthus chaetodon	blackbanded sunfish
Enneacanthus gloriosus	bluespotted sunfish
Enneacanthus obesus	banded sunfish
Lepomis auritus	redbreast sunfish
Lepomis cyanellus	green sunfish
Lepomis gibbosus	pumpkinseed
Lepomis gulosus	warmouth
Lepomis humilis	orangespotted sunfish
Lepomis macrochirus	bluegill
Lepomis marginatus	dollar sunfish
Lepomis megalotis	longear sunfish
Lepomis microlophus	redear sunfish
Lepomis miniatus X L. punctatus integrade	spotted sunfish integrade
Lepomis punctatus	spotted sunfish
Micropterus cataractae	shoal bass
Micropterus coosae	redeye bass
Micropterus dolomieu	smallmouth bass
Micropterus henshalli	Alabama bass
Micropterus notius	Suwannee bass
Micropterus punctulatus	spotted bass
Micropterus salmoides	largemouth bass
Micropterus sp. cf. M. coosae	Bartram's bass
Micropterus sp. cf. M. coosae	redeye bass (Chattahoochee)
Micropterus sp. cf. M. coosae	redeye bass (Altamaha / Ogeechee)
Pomoxis annularis	white crappie
Pomoxis nigromaculatus	black crappie

Family: Percidae
Etheostoma blennioides	greenside darter
Etheostoma caeruleum	rainbow darter
Etheostoma chlorobranchium	greenfin darter
Etheostoma chuckwachatte	lipstick darter
Etheostoma cinereum	ashy darter
Etheostoma coosae	Coosa darter
Etheostoma ditrema	coldwater darter
Etheostoma duryi	black darter
Etheostoma edwini	brown darter
Etheostoma etowahae	Etowah darter
Etheostoma fricksium	Savannah darter
Etheostoma fusiforme	swamp darter
Etheostoma gutselli	Tuckasegee darter
Etheostoma hopkinsi	Christmas darter
Etheostoma inscriptum	turquoise darter
Etheostoma jessiae	blueside darter
Etheostoma jordani	greenbreast darter
Etheostoma olmstedi	tessellated darter
Etheostoma parvipinne	goldstripe darter
Etheostoma rufilineatum	redline darter
Etheostoma rupestre	rock darter
Etheostoma scotti	Cherokee darter
Etheostoma serrifer	sawcheek darter
Etheostoma tennesseense	Tennessee darter
Etheostoma sp. cf. E. brevirostrum	holiday darter complex
Etheostoma sp. cf. E. rufilineatum	redline darter species
Etheostoma stigmaeum	speckled darter
Etheostoma swaini	gulf darter
Etheostoma tallapoosae	Tallapoosa darter
Etheostoma trisella	trispot darter
Etheostoma vulneratum	wounded darter
Etheostoma zonale	banded darter
Etheostoma zonifer	backwater darter
Perca flavescens	yellow perch
Percina antesella	amber darter
Percina aurantiaca	tangerine darter
Percina aurolineata	goldline darter
Percina caprodes	logperch
Percina crypta	Halloween darter
Percina evides	gilt darter
Percina jenkinsi	Conasauga logperch
Percina kathae	Mobile logperch
Percina kusha	bridled darter
Percina lenticula	freckled darter
Percina nigrofasciata	blackbanded darter
Percina palmaris	bronze darter
Percina sciera	dusky darter
Percina shumardi	river darter
Percina smithvanizi	Muscadine darter
Percina squamata	olive darter
Percina tanasi	snail darter
Sander canadensis	sauger
Sander vitreus	walleye

Family: Sciaenidae
Aplodinotus grunniens	freshwater drum

Family: Elassomatidae
Elassoma evergladei	Everglades pygmy sunfish
Elassoma gilberti	Gulf coast pygmy sunfish
Elassoma okatie	bluebarred pygmy sunfish
Elassoma okefenokee	Okefenokee pygmy sunfish
Elassoma zonatum	banded pygmy sunfish

